---,Name,Description,Image,Audio
1,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""1_Name"", ""01. First engaging into grappling"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""1_Description"", ""In this encounter, your first concern should be whether your opponent advances towards you with their arms raised or lowered.|If raised, there will be no need to fear their attack; instead, confidently carry out your intended actions. |If lowered: keep your thumbs enclosed within your fingers, and apply your left hand to your left side, and likewise your right hand to your right side, ensuring that you position your left foot forward. |From there, if you compose yourself into a balanced stance, no matter the method of your opponent\'s attack, you will have the upper hand."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_001.400px-Mair_grappling_001'","None"
2,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""2_Name"", ""02. The first wind-off before the hand"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""2_Description"", ""Position your left or right arm in the aforementioned posture while observing carefully the manner in which your opponent intends to attack you. |Place your left foot forward and keep your left hand firmly closed near your left foot. |However, if the opponent approaches you in the same manner and attempts to seize your right shoulder with their left hand, then, with your left foot extended forward, repel their arm outward by turning it with your closed right hand. |In doing so, if you maintain the same stance, you will suppress and hinder the opponent\'s attempt."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_002.400px-Mair_grappling_002'","None"
3,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""3_Name"", ""03. Closed wrestling"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""3_Description"", ""If the opponent advances towards you boldly, you can use the posture mentioned earlier in this way: place your left arm over the opponent\'s left arm and seize their left foot above the knee from the inside. |Once lifted, place their left foot behind their right. |However, ensure that this is done simultaneously with the guidance of your hand, as when executed at the joint, you will throw the opponent down. |This posture can be practiced on either side."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_003.400px-Mair_grappling_003'","None"
4,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""4_Name"", ""04. The weakening of the wrist"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""4_Description"", ""When the opponent advances towards you with their arms closed and pressed to their chest, and with their left hand grabs your right shoulder, then push their right arm outward and seize the joint of their left hand with your left hand. |Move your left hand to your right hand, and if you press their left hand towards their chest with both hands, they will be forced to bend forward. |From this posture, if you turn from your left side to your right side using your right foot, you will throw the opponent down."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_004.400px-Mair_grappling_004'","None"
5,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""5_Name"", ""05. A throw out of the open tong hold"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""5_Description"", ""In the encounter, carefully observe that you stand with your arms crossed like scissors, direct your right hand around the opponent\'s neck, and ensure to grasp the leather strap placed behind their shoulder, which is commonly worn by masters of athletic arts. |However, if they try to free themselves with their left hand and direct it through your right arm to release your hand, as quickly as possible, place both of your feet behind the opponent\'s right foot. |Then, seize their pubic area with your left hand, and if you lift them, apply your right hand to their neck and press them sharply to the right side, throwing the opponent down with your advanced foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_005.400px-Mair_grappling_005'","None"
6,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""6_Name"", ""06. The pull"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""6_Description"", ""If you both advance towards each other, seize the opponent\'s right arm with your left hand. |But if they deflect your left arm upward with their right arm from the outside, quickly retract your left hand, and if you pass it through the opponent\'s right arm, apply it to your chest and hold them firmly. |Then, retract your right hand, seize the opponent\'s lower foot with the same hand, lift it, and meanwhile place your left foot behind their left foot from the outside. |With your left hand, which you have applied to your chest, if you firmly push the opponent towards your left side, you will throw them down on their back."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_006.400px-Mair_grappling_006'","None"
7,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""7_Name"", ""07. A run-through under the arm"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""7_Description"", ""In mutual engagement, seize the opponent\'s left hand with your right hand, and if you lift it, quickly pass your entire body under their left arm. |Ensure that the opponent\'s arm is applied to your right shoulder, and if you attack their right foot with your left foot, your right foot will appear first in this posture. |Then, with your left hand, encircle their flank, and having seized the opponent in this way, you can carry them away."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_007.400px-Mair_grappling_007'","None"
8,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""8_Name"", ""08. A wind-off from both sides"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""8_Description"", ""If you both advance towards each other, place your right foot behind the opponent\'s left foot and seize their left arm from the outside. |If they do the same, then with your left hand, seize their right arm from the inside near their chest, and with your right hand, seize their chest from the front. |But if they embrace you in the same way, deflect their right arm inward with your right elbow, and extend your left hand under both of their arms. |If you lift them upward, all of the opponent\'s efforts will be thwarted, and you will secure yourself from any danger."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_008.400px-Mair_grappling_008'","None"
9,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""9_Name"", ""09. A winding above and below"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""9_Description"", ""In mutual engagement, if you both are engaged, and the opponent seizes your right arm from the inside with their left hand, then place your left foot behind their right foot. |Then, with your right hand, seize the upper part of their left arm and twist it upward. |But if they do the same against you, if you extend your right hand under their right arm, twist it towards your left side. |However, if the opponent tries the same in return, quickly retract your left hand, apply your right elbow to their arm, and if you suppress and push them upward, you will throw the opponent down with your left foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_009.400px-Mair_grappling_009'","None"
10,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""10_Name"", ""10. The wheel"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""10_Description"", ""When you both mutually grasp each other near the flexure of the arms, join both of your feet and rotate the opponent to the right side from the aforementioned posture. |But if they use the same method against you, recline your head on the opponent\'s right shoulder, then release both of your arms and place both of them over their arms from the inside. |If they do the same, then place your right foot inside their left foot, and from the posture of the wheel, throw them prone to your left side."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_010.400px-Mair_grappling_010'","None"
